"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 28 09:11:41 GMT 2023","Fri Jul 28 09:11:58 GMT 2023","17399","","org.palywright.quarkus.InvalidLoginPageTest","","org.palywright.quarkus.InvalidLoginPageTest","LoginInvalidTest","LoginInvalidTest()","Invalid Login Test with Invalid Username and Invalid Password."
"passed","Fri Jul 28 09:11:58 GMT 2023","Fri Jul 28 09:12:01 GMT 2023","2131","","org.palywright.quarkus.LoginPageTest","","org.palywright.quarkus.LoginPageTest","LoginAdminTest","LoginAdminTest()","Invalid Login Test with valid Username and valid Password."
